lambda_nm,T_percent,T45_percent,overlap_p45_percent,overlap_m45_percent,overlap_0_percent,overlap_90_percent,overlap_R_percent,overlap_L_percent,delta_deg,retardance_deg,retardance_deg_plus90,phi_in,phi_out_est,phi_out_field,phi_out_flux
585.000000,97.684810,97.679423,99.994485,0.005515,50.462972,49.537028,49.419391,50.580609,-0.665372,0.665372,90.665372,6.118624923660e+02,5.976967124872e+02,5.976967124872e+02,5.976967124872e+02
586.000000,97.571246,97.566842,99.995486,0.004514,50.387767,49.612233,49.451332,50.548668,-0.628758,0.628758,90.628758,6.139703298931e+02,5.990585015721e+02,5.990585015721e+02,5.990585015721e+02
587.000000,97.452441,97.448905,99.996372,0.003628,50.303664,49.696336,49.479798,50.520202,-0.596129,0.596129,90.596129,6.160817930173e+02,6.003867456713e+02,6.003867456713e+02,6.003867456713e+02
588.000000,97.328596,97.325769,99.997096,0.002904,50.210797,49.789203,49.504021,50.495979,-0.568365,0.568365,90.568365,6.181967392199e+02,6.016822045081e+02,6.016822045081e+02,6.016822045081e+02
589.000000,97.200009,97.197684,99.997607,0.002393,50.109372,49.890628,49.523231,50.476769,-0.546347,0.546347,90.546347,6.203154696507e+02,6.029466945472e+02,6.029466945472e+02,6.029466945472e+02
590.000000,97.066737,97.064653,99.997853,0.002147,49.999664,50.000336,49.536687,50.463313,-0.530925,0.530925,90.530925,6.224377246800e+02,6.041799897756e+02,6.041799897756e+02,6.041799897756e+02
591.000000,96.929205,96.927051,99.997778,0.002222,49.882006,50.117994,49.543669,50.456331,-0.522926,0.522926,90.522926,6.245635718960e+02,6.053845031193e+02,6.053845031193e+02,6.053845031193e+02
592.000000,96.787672,96.785082,99.997324,0.002676,49.756801,50.243199,49.543476,50.456524,-0.523151,0.523151,90.523151,6.266930267268e+02,6.065615899496e+02,6.065615899496e+02,6.065615899496e+02
593.000000,96.642224,96.638776,99.996432,0.003568,49.624509,50.375491,49.535455,50.464545,-0.532352,0.532352,90.532352,6.288261462477e+02,6.077115746251e+02,6.077115746251e+02,6.077115746251e+02
594.000000,96.493380,96.488595,99.995040,0.004960,49.485641,50.514359,49.518984,50.481016,-0.551242,0.551242,90.551242,6.309626730032e+02,6.088372126715e+02,6.088372126715e+02,6.088372126715e+02
595.000000,96.341242,96.334583,99.993088,0.006912,49.340767,50.659233,49.493480,50.506520,-0.580490,0.580490,90.580490,6.331029219820e+02,6.099392180755e+02,6.099392180755e+02,6.099392180755e+02
596.000000,96.185985,96.176860,99.990513,0.009487,49.190504,50.809496,49.458419,50.541581,-0.620700,0.620700,90.620700,6.352468133507e+02,6.110184025318e+02,6.110184025318e+02,6.110184025318e+02
597.000000,96.028057,96.015817,99.987254,0.012746,49.035505,50.964495,49.413317,50.586683,-0.672429,0.672429,90.672429,6.373941506489e+02,6.120772191500e+02,6.120772191500e+02,6.120772191500e+02
598.000000,95.867441,95.851382,99.983249,0.016751,48.876473,51.123527,49.357749,50.642251,-0.736171,0.736171,90.736171,6.395452351578e+02,6.131156502333e+02,6.131156502333e+02,6.131156502333e+02
599.000000,95.704380,95.683745,99.978439,0.021561,48.714136,51.285864,49.291350,50.708650,-0.812349,0.812349,90.812349,6.416997528364e+02,6.141347711950e+02,6.141347711950e+02,6.141347711950e+02
600.000000,95.539108,95.513088,99.972765,0.027235,48.549253,51.450747,49.213805,50.786195,-0.901329,0.901329,90.901329,6.438579953457e+02,6.151361866179e+02,6.151361866179e+02,6.151361866179e+02
