lambda_nm,t_xx_real,t_xx_imag,t_xy_real,t_xy_imag,t_yx_real,t_yx_imag,t_yy_real,t_yy_imag,abs_txx_sq,abs_txy_sq,abs_tyx_sq,abs_tyy_sq,phase_txx_rad,phase_tyy_rad,retardance_deg,qwp_error_deg,T_x,T_y
540.000000,-6.894936398168e-01,7.194768696295e-01,7.134106835263e-03,-8.953711519880e-03,-8.513707265967e-03,-9.511956395776e-03,-7.141014896572e-01,-6.843686979729e-01,9.930484452798e-01,1.310644303182e-04,1.629605258857e-04,9.783014522958e-01,2.334917462116e+00,-2.377452228218e+00,90.001105,0.001105,9.932115350388e-01,9.784326063948e-01
541.000000,-6.700499183454e-01,7.373227072385e-01,6.897291482273e-03,-9.090258071068e-03,-8.768478849702e-03,-9.254103725205e-03,-7.321993989173e-01,-6.653026057422e-01,9.926116676841e-01,1.302054215901e-04,1.625246570945e-04,9.787435169821e-01,2.308430577942e+00,-2.404026812973e+00,89.996080,0.003920,9.927743075465e-01,9.788737647233e-01
542.000000,-6.503080606930e-01,7.544988889139e-01,6.662817265185e-03,-9.221211147735e-03,-9.016807763479e-03,-8.987774917541e-03,-7.497303373889e-01,-6.458608371865e-01,9.921691471746e-01,1.294238689404e-04,1.620829202119e-04,9.792317998124e-01,2.282162672445e+00,-2.430484401739e+00,89.985212,0.014788,9.923313313027e-01,9.793613131662e-01
543.000000,-6.302951237642e-01,7.710140546419e-01,6.430827235365e-03,-9.347298814933e-03,-9.257988402976e-03,-8.712736669311e-03,-7.666881984493e-01,-6.260529314291e-01,9.917346154964e-01,1.287275340668e-04,1.616221295384e-04,9.797530665924e-01,2.256110392691e+00,-2.456830692514e+00,89.968367,0.031633,9.918963568964e-01,9.798818512152e-01
544.000000,-6.100348321323e-01,7.868773870076e-01,6.201315500666e-03,-9.469229177088e-03,-9.491206008808e-03,-8.428854299401e-03,-7.830635468026e-01,-6.058903992937e-01,9.913185185985e-01,1.281226151470e-04,1.611285763022e-04,9.802916942873e-01,2.230269024816e+00,-2.483068013014e+00,89.945680,0.054320,9.914797718904e-01,9.804198740298e-01
545.000000,-5.895498504922e-01,8.020993789939e-01,5.974197033602e-03,-9.587721992330e-03,-9.715618251399e-03,-8.136153337010e-03,-7.988478168995e-01,-5.853865465595e-01,9.909324399977e-01,1.276154431985e-04,1.605902291303e-04,9.808352434579e-01,2.204633625491e+00,-2.509198166548e+00,89.917333,0.082667,9.910931449657e-01,9.809629727554e-01
546.000000,-5.688605173895e-01,8.166904478712e-01,5.749274732270e-03,-9.703458239421e-03,-9.930355769435e-03,-7.834736480683e-03,-8.140312275800e-01,-5.645529540181e-01,9.905855758887e-01,1.272112617513e-04,1.599950614293e-04,9.813668773659e-01,2.179198801394e+00,-2.535223943770e+00,89.883474,0.116526,9.907456953268e-01,9.814941361232e-01
547.000000,-5.479854939635e-01,8.306623415335e-01,5.526250807257e-03,-9.817104953900e-03,-1.013453046275e-02,-7.524912483550e-03,-8.286033953682e-01,-5.434073812516e-01,9.902880272363e-01,1.269149976606e-04,1.593330155856e-04,9.818751688145e-01,2.153958275725e+00,-2.561143077361e+00,89.844592,0.155408,9.904474921417e-01,9.820022194229e-01
548.000000,-5.269407490853e-01,8.440261164133e-01,5.304722990277e-03,-9.929253631287e-03,-1.032731157774e-02,-7.207054596270e-03,-8.425564783870e-01,-5.219647784380e-01,9.900466382343e-01,1.267301636780e-04,1.585950003774e-04,9.823486492017e-01,2.128905109290e+00,-2.586957282350e+00,89.800988,0.199012,9.902053348130e-01,9.824754559370e-01
549.000000,-5.057414070312e-01,8.567931011527e-01,5.084223204781e-03,-1.004045584217e-02,-1.050783854945e-02,-6.881688555323e-03,-8.558787583364e-01,-5.002432923193e-01,9.898687889689e-01,1.266600791146e-04,1.577723083539e-04,9.827718004820e-01,2.104032550271e+00,-2.612663718918e+00,89.753211,0.246789,9.900266873501e-01,9.828985445373e-01
550.000000,-4.843999161166e-01,8.689743486953e-01,4.864175530332e-03,-1.015117551057e-02,-1.067534768336e-02,-6.549468526899e-03,-8.685631135978e-01,-4.782638021272e-01,9.897596974243e-01,1.267065678364e-04,1.568585861455e-04,9.831381467279e-01,2.079332674004e+00,-2.638259794742e+00,89.701862,0.298138,9.899166733337e-01,9.832649999297e-01
551.000000,-4.629274196566e-01,8.805798045608e-01,4.643957489396e-03,-1.026178460935e-02,-1.082911570421e-02,-6.211124871339e-03,-8.806010586408e-01,-4.560447230798e-01,9.897225880702e-01,1.268705645320e-04,1.558478191025e-04,9.834350139283e-01,2.054797807659e+00,-2.663744428630e+00,89.647444,0.352556,9.898785586619e-01,9.835619651372e-01
552.000000,-4.413339666927e-01,8.916194686233e-01,4.422884510408e-03,-1.037258216866e-02,-1.096850320943e-02,-5.867534793696e-03,-8.919846462910e-01,-4.336102283346e-01,9.897609469848e-01,1.271523682380e-04,1.547360272105e-04,9.836544393354e-01,2.030420023202e+00,-2.689111796466e+00,89.590745,0.409255,9.899158068837e-01,9.837817304949e-01
553.000000,-4.196275775131e-01,9.021018556438e-01,4.200222772955e-03,-1.048374419314e-02,-1.109298352868e-02,-5.519616669267e-03,-9.027101248455e-01,-4.109824910486e-01,9.898750617654e-01,1.275507636496e-04,1.535204517432e-04,9.837921774471e-01,2.006190903327e+00,-2.714359658282e+00,89.532376,0.467624,9.900286805324e-01,9.839198435752e-01
554.000000,-3.978159143073e-01,9.120345855848e-01,3.975220667546e-03,-1.059535402437e-02,-1.120208427719e-02,-5.168382581044e-03,-9.127711765217e-01,-3.881849837153e-01,9.900645869789e-01,1.280639062574e-04,1.521988706573e-04,9.838388022708e-01,1.982102597935e+00,-2.739483329520e+00,89.473054,0.526946,9.902169084582e-01,9.839669655591e-01
555.000000,-3.759051957816e-01,9.214245086080e-01,3.747092352672e-03,-1.070738065669e-02,-1.129549044288e-02,-4.814926587823e-03,-9.221663337051e-01,-3.652442085608e-01,9.903278412791e-01,1.286887016267e-04,1.507716223912e-04,9.837940789063e-01,1.958146676297e+00,-2.764477115240e+00,89.413589,0.586411,9.904787291464e-01,9.839229337459e-01
556.000000,-3.539009878611e-01,9.302766494485e-01,3.515067458606e-03,-1.081967561231e-02,-1.137298589474e-02,-4.460333625573e-03,-9.308947392060e-01,-3.421832928292e-01,9.906605537181e-01,1.294210795943e-04,1.492393842135e-04,9.836544213728e-01,1.934315121383e+00,-2.789338268136e+00,89.354597,0.645403,9.908099036900e-01,9.837839483410e-01
557.000000,-3.318088308988e-01,9.385955110928e-01,3.278381630598e-03,-1.093199652767e-02,-1.143445532869e-02,-4.105774109057e-03,-9.389559868702e-01,-3.190293935743e-01,9.910586337059e-01,1.302563341968e-04,1.476041496983e-04,9.834180992438e-01,1.910600284083e+00,-2.814060024802e+00,89.296905,0.703095,9.912063464971e-01,9.835484884880e-01
558.000000,-3.096333566542e-01,9.463838555391e-01,3.036290833124e-03,-1.104397146283e-02,-1.147995453992e-02,-3.752405596716e-03,-9.463546310286e-01,-2.958078874617e-01,9.915152175780e-01,1.311883676952e-04,1.458699040010e-04,9.830893939538e-01,1.886994388301e+00,-2.838638411283e+00,89.241185,0.758815,9.916611891937e-01,9.832207357123e-01
559.000000,-2.873795504822e-01,9.536431517727e-01,2.788100385512e-03,-1.115513484110e-02,-1.150960909541e-02,-3.401368738645e-03,-9.530935596803e-01,-2.725430912100e-01,9.920222669583e-01,1.322105370828e-04,1.440404108253e-04,9.826670700704e-01,1.863490410893e+00,-2.863069276003e+00,89.188078,0.811922,9.921664169965e-01,9.827993900956e-01
